,Unnamed: 0,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set
65,65,"IX International ACM Conference on Hypertext and Hypermedia, Hypertext?98",1998.0,-,conferencia,hypertext,acm conference on hypertext and hypermedia,acm conference on hypertext and hypermedia,acm conference on hypertext and hypermedia,acm conference on hypertext and hypermedia,73,100,74,100,,A3,,A3
66,66,"VIII International ACM Conference on Hypertext and Hypermedia, Hypertext?97",1997.0,-,conferencia,hypertext,acm conference on hypertext and hypermedia,acm conference on hypertext and hypermedia,acm conference on hypertext and hypermedia,acm conference on hypertext and hypermedia,72,100,72,100,,A3,,A3
67,67,II Encontro para o Processamento Computacional do Português Escrito e Falado,1996.0,-,conferencia,-,"workshop de ensino em pensamento computacional, algoritmos e programacao",workshop de visao computacional,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,57,68,65,65,,,,
68,68,Workshop de pesquisas de tese em Engenharia de Software,1996.0,-,conferencia,-,workshop de engenharia de software baseada em busca,workshop iberchip,workshop de engenharia de software baseada em busca,workshop de software livre,64,65,74,87,,,,B4
69,69,International Symposium on Mathematics/Science Education and Technology,1994.0,-,conferencia,-,international symposium on mathematical morphology,international symposium compimage,international symposium on mathematical foundations of computer science,robocup international symposium,74,85,75,85,,B3,,A4
70,70,IV Simpósio Brasileiro de Informática na Educação,1993.0,-,conferencia,iv,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,simposio brasileiro de informatica na educacao,97,100,97,100,A3,A3,A3,A3
71,71,VII Annual Conference on Writing and Computers,1995.0,-,conferencia,-,italian conference on theoretical computer science,agile conference,asian conference on computer vision,asian conference on computer vision,69,81,77,77,,A3,,
72,72,Semana Comemorativa dos 20 anos da Pós-Graduação em Ciências da Computação e Matemática Computacional do ICMSC-USP,1995.0,-,conferencia,-,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio de mecanica computacional,simposio brasileiro em seguranca da informacao e de sistemas computacionais,congresso nacional de matematica aplicada e computacional,53,74,55,63,,,,
73,73,IX Conferencia Interamericana de Educación Matemaática,1995.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia iberoamericana de software engineering,conferencia iberoamericana de software engineering,73,74,65,65,,,,
74,74,"II Workshop em Sistemas Hipermídia, WOSH'96",1996.0,-,conferencia,-,simposio brasileiro de sistemas eletricos,workshop iberchip,latin american test workshop,workshop em desempenho de sistemas computacionais e de comunicacao,55,65,57,65,,,,
75,75,II CIT,1995.0,-,conferencia,cit,digital heritage,hawaii international conference on system sciences,creativity & cognition,creativity & cognition,45,83,46,46,,A1,,
76,76,XX Colóquio de Incentivo a Pesquisa,1993.0,-,conferencia,-,robocup international symposium,simposio internacional de educacao a distancia e encontro de pesquisadores em educacao a distancia,simposio brasileiro de pesquisa operacional,workshop de pesquisa experimental da internet do futuro,48,60,54,56,,,,
77,77,XIX Colóquio de Incentivo a Pesquisa,1992.0,-,conferencia,-,simposio de instrumentacao e imagens medicas,simposio internacional de educacao a distancia e encontro de pesquisadores em educacao a distancia,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,50,58,56,56,,,,
78,78,ICECE2000 - International Conference on Engineering and Computer Education,2000.0,-,conferencia,-,ieee international conference on green computing and communications,international conference on web engineering,international conference on computers in education,international conference on web engineering,75,91,80,95,,A3,B2,A3
79,79,WISE'99- Workshop Internacional Sobre Educação Virtual,1999.0,-,conferencia,wise,simposio internacional de informatica educatica,workshop iberchip,international workshop on the web and databases,workshop sobre educacao em computacao,57,76,66,77,,,,
80,80,SUCESU 2004 - CONGRESSO NACIONAL DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,2004.0,-,conferencia,-,congresso internacional de design da informacao,congresso internacional de design da informacao,congresso da associacao nacional de pesquisa e pos-graduacao em musica,simposio brasileiro de tecnologia da informacao,63,81,63,73,,B4,,
81,81,"WWW/Internet 2007, IADIS International Conference WWW/Internet",2003.0,-,conferencia,www,international conference on www/internet,international conference on www/internet,international conference on www/internet,international conference on www/internet,73,96,77,96,,B4,,B4
82,82,3o Congresso Nacional de Iniciação Científica,2003.0,-,conferencia,-,congresso internacional de design da informacao,encontro nacional de inteligencia artificial e computacional,congresso internacional de design da informacao,congresso internacional de design da informacao,67,69,63,70,,,,
83,83,Conferência IADIS IBERO-AMERICANA WWW/Internet 2004,2004.0,-,conferencia,www,conferencia iberoamericana de software engineering,conferencia latinoamericana de informatica,ibero-american conference on artificial intelligence,ibero-american conference on artificial intelligence,65,67,64,64,,,,
84,84,"WWW/Internet 2004, IADIS International Conference WWW/Internet",2004.0,-,conferencia,www,international conference on www/internet,international conference on www/internet,international conference on www/internet,international conference on www/internet,73,96,77,96,,B4,,B4
85,85,Conferência IADIS Ibero-Americana WWW/Internet 2004,2004.0,-,conferencia,www,conferencia iberoamericana de software engineering,conferencia latinoamericana de informatica,ibero-american conference on artificial intelligence,ibero-american conference on artificial intelligence,65,67,64,64,,,,
86,86,IV Evento Interno de Iniciação Científica da UFMS,2004.0,-,conferencia,iv,international conference on scientific computing,seminario de computacao e mercado,congresso internacional de design da informacao,congresso internacional de design da informacao,52,55,54,54,,,,
87,87,IV Encontro Interno de Iniciação Científica da UFMS,2004.0,-,conferencia,iv,encontro nacional de inteligencia artificial e computacional,encontro nacional de inteligencia artificial e computacional,encontro nacional de inteligencia artificial e computacional,simposio internacional de educacao a distancia e encontro de pesquisadores em educacao a distancia,56,61,54,58,,,,
88,88,Congresso Ibero-americano de Extensão Universitária / Congreso Iberoamericano de Extensión Universitaria,2005.0,-,conferencia,-,congresso brasileiro de pesquisadores em cibercultura,congresso brasileiro de sistemas fuzzy,congresso internacional de ergonomia e usabilidade de interfaces humano computador,conferencia iberoamericana de software engineering,51,63,53,55,,,,
89,89,XI Simpósio Brasileiro de Sistemas Multimídia e Web,2005.0,-,conferencia,-,simposio brasileiro de sistemas eletricos,simposio brasileiro de sistemas eletricos,simposio brasileiro de sistemas eletricos,simposio brasileiro de sistemas eletricos,76,85,78,86,,B4,,B4
90,90,WebMedia - Brazilian Symposium on Multimedia and the Web,2005.0,-,conferencia,webmedia,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,89,100,91,100,A4,A4,A4,A4
91,91,XXXII Conferencia Lationoamericana de Informática,2006.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,92,98,92,92,B2,B2,B2,B2
92,92,International Conference On Engineering And Computer Education,2007.0,-,conferencia,-,international conference on computers in education,international conference on web engineering,international conference on computers in education,international conference on frontiers in education: computer science and computer engineering,82,91,88,100,B2,A3,B2,B3
93,93,I Conferência Internacional & II Seminário Regional de Educação Profissional e Tecnológica,2007.0,-,conferencia,-,encontro nacional da associacao nacional de pos-graduacao e pesquisa em administracao,interaction latin america,europe - ieee international conference on innovative smart grid technologies,europe - ieee international conference on innovative smart grid technologies,55,64,62,62,,,,
94,94,"WWW/Internet 2006, IADIS International Conference WWW/Internet",2006.0,-,conferencia,www,international conference on www/internet,international conference on www/internet,international conference on www/internet,international conference on www/internet,73,96,77,96,,B4,,B4
95,95,"WWW/Internet 2007, IADIS International Conference WWW/Internet",2007.0,-,conferencia,www,international conference on www/internet,international conference on www/internet,international conference on www/internet,international conference on www/internet,73,96,77,96,,B4,,B4
96,96,SEMISH - XXXIII Seminário Integrado de Software e Hardware,2006.0,-,conferencia,semish,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,84,100,86,100,B1,B1,B1,B1
97,97,VIII Congresso Ibero-americano de Extensão Universitária,2005.0,-,conferencia,-,congresso brasileiro de automatica,congresso brasileiro de sistemas fuzzy,congresso brasileiro de engenharia biomedica,congresso brasileiro de engenharia biomedica,58,63,56,62,,,,
98,98,3o Congresso Brasileiro de Extensão Universitária,2006.0,-,conferencia,-,congresso brasileiro de automatica,congresso brasileiro de automatica,congresso brasileiro de engenharia biomedica,congresso brasileiro de automatica,72,76,71,81,,,,B4
99,99,WTD - Workshop de Teses e Dissertações do Webmedia?2005 - Simpósio Brasileiro de Sistemas Multimídia e Web,2005.0,-,conferencia,webmedia,workshops do congresso brasileiro de informatica na educacao,simposio brasileiro de sistemas eletricos,simposio brasileiro de telecomunicacoes e processamento de sinais,simposio brasileiro de sistemas eletricos,51,85,56,86,,B4,,B4
100,100,"6th ACIS International Conference on Software Engineering Research, Management and Applications",2008.0,-,conferencia,-,international conference on software engineering research and practice,international conference on software engineering,international conference on software engineering research and practice,international conference on software engineering,80,100,76,100,B3,A1,,A1
101,101,Proceedings of the 26th annual ACM international conference on Design of communication,2008.0,-,conferencia,-,acm international conference on design of communication,acm international conference on design of communication,acm international conference on design of communication,acm international conference on design of communication,78,100,78,100,,B2,,B2
102,102,Annual Joint Conference Integrating Technology into Computer Science Education,2007.0,-,conferencia,-,conference on innovation and technology in computer science education,conference on innovation and technology in computer science education,conference on innovation and technology in computer science education,conference for computer science logic,79,87,84,84,,A3,A3,A3
103,103,XXXVII Seminário Integrado de Software e Hardware - XXX Congresso da Sociedade Brasileira de Computação,2010.0,-,conferencia,-,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,58,100,59,100,,B1,,B1
104,104,CLEI 2006 - XXXII Conferencia Lationoamericana de Informática,2006.0,-,conferencia,clei,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,82,98,83,83,B2,B2,B2,B2
105,105,XXXVI Conferência Latino-americana de Informática (XXXVI CLEI),2010.0,-,conferencia,clei,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,81,98,67,76,B2,B2,,
106,106,WebMedia - Brazilian Symposium on Multimedia and the Web,2010.0,-,conferencia,webmedia,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,89,100,91,100,A4,A4,A4,A4
107,107,WebMedia - Brazilian Symposium on Multimedia and the Web,2006.0,-,conferencia,webmedia,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,89,100,91,100,A4,A4,A4,A4
108,108,7o Congresso Brasileiro de Agroinformática,2009.0,-,conferencia,-,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,96,100,96,100,B4,B4,B4,B4
109,109,Simpósio Brasileiro de Sistemas de Informação,2011.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100,100,100,100,A4,A4,A4,B1
110,110,Simpósio Brasileiro de Sistemas de Informação,2015.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100,100,100,100,A4,A4,A4,B1
111,111,Simpósio Brasileiro de Qualidade de Software,2014.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100,100,100,100,B1,B1,B1,B1
