,issn,periodico,Ajuste_SBC,link_scopus,percentil,Qualis_Final,data-atualizacao,data-tentativa,logs
67,0001-8708,advances in mathematics (new york. 1965),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24570,86,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
68,2415-6698,"advances in science, technology and engineering systems",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100898760,6,B4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
69,1687-8655,advances in software engineering (print),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
70,0273-1177,advances in space research,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=12375,84,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
71,0065-3438,advances in the astronautical sciences,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=12376,15,B3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
72,1991-637X,african journal of agricultural research,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19200156942,nulo,nulo,nulo,23/01/2022 03:00:01,sem valor de percentil
73,1684-5315,african journal of biotechnology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=14940,63,A3,12/09/2021 03:00:01,23/01/2022 03:00:01,sem valor de percentil
74,2156-8553,agricultural sciences,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
75,0308-521X,agricultural systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15061,99,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
76,1435-0645,agronomy journal (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15639,73,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
77,0951-5666,ai & society,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23616,93,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
78,0921-7126,ai communications,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23617,54,A4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
79,0001-1452,aiaa journal (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=29964,85,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
80,0178-4617,algorithmica,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23087,64,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
81,1432-0541,algorithmica (new york. internet),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23087,64,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
82,1999-4893,algorithms,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100199795,65,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
83,1748-7188,algorithms for molecular biology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5800179604,78,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
84,2327-6126,american journal of educational research,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
85,2166-4633,american journal of environmental engineering,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
86,0363-6119,"american journal of physiology. regulatory, integrative and comparative physiology",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23327,67,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
87,2151-0032,american society of agricultural and biological engineers. transactions,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100230300,67,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
88,0173-5373,amphibia - reptilia,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24137,72,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
89,1678-2690,anais da academia brasileira de ciencias (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18659,76,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
90,0925-1030,analog integrated circuits and signal processing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25569,42,B1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
91,1573-1979,analog integrated circuits and signal processing (dordrecht. online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25569,42,B1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
92,0003-2670,analytica chimica acta (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23911,95,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
93,0003-4347,annales des telecommunications,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=17722,66,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
94,0090-6964,annals of biomedical engineering,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=27474,80,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
95,1012-2443,annals of mathematics and artificial intelligence,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23670,63,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
96,0250-6807,annals of nutrition & metabolism,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=29992,79,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
97,0254-5330,annals of operation research,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23090,83,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
98,1572-9338,annals of operations research (dordrecht. online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23090,83,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
99,1359-6535,antiviral therapy (london),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21790,69,A3,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
100,0003-6072,antonie van leeuwenhoek (gedrukt),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=14944,58,A4,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
101,0044-8435,apidologie,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19137,80,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
102,1432-0622,"applicable algebra in engineering, communication and computing (internet)",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28048,66,A3,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
103,1452-8630,applicable analysis and discrete mathematics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19700182746,84,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
104,0883-9514,applied artificial intelligence,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23673,44,B1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
105,1559-0291,applied biochemistry and biotechnology (online),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:01:14,Other error occurred: 'entry' - Status_code: 200
106,1869-0327,applied clinical informatics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100258404,63,A3,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
107,1559-6915,applied computing review,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:01:14,Other error occurred: 'entry' - Status_code: 200
108,1559-6915,applied computing review,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:01:14,Other error occurred: 'entry' - Status_code: 200
109,1350-4851,applied economics letters (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18769,42,B1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
110,0306-2619,applied energy,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28801,99,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
111,0883-8542,applied engineering in agriculture,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=16190,57,A4,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
112,0003-6870,applied ergonomics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=13929,96,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
113,0924-669X,applied intelligence (boston),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23674,75,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
114,1573-7497,applied intelligence (dordrecht. online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23674,75,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
115,0307-904X,applied mathematical modelling,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28065,96,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
116,2152-7385,applied mathematics,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:01:14,Other error occurred: 'entry' - Status_code: 200
117,0095-4616,applied mathematics & optimization,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25179,79,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
118,0096-3003,applied mathematics and computation,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25170,95,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
119,1662-7482,applied mechanics and materials,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:01:14,Other error occurred: 'entry' - Status_code: 200
120,1660-9336,applied mechanics and materials,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700151914,nulo,nulo,nulo,23/01/2022 03:01:14,sem valor de percentil
121,0168-9274,applied numerical mathematics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28067,76,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
122,1570-5838,applied ontology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19900193674,95,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
123,1875-8533,applied ontology (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19900193674,95,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
124,0969-8043,applied radiation and isotopes,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=40907,44,B1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
125,2076-3417,applied sciences (switzerland),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100829268,71,A3,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
126,1568-4946,applied soft computing (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18136,91,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
127,0003-7028,applied spectroscopy,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23934,83,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
128,2048-7703,apsipa transactions on signal and information processing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100332423,51,A4,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
129,0003-9861,archives of biochemistry and biophysics (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=16811,82,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
130,0003-9888,archives of disease in childhood,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=14491,86,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
131,2359-4292,archives of endocrinology and metabolism,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100422060,43,B1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
132,0167-4943,archives of gerontology and geriatrics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28541,88,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
133,1734-1922,archives of medical science,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4000151806,89,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
134,0102-0935,arquivo brasileiro de medicina veterinaria e zootecnia,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=17672,25,B2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
135,0066-782X,arquivos brasileiros de cardiologia (impresso),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=33067,50,A4,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
136,0004-2773,arquivos catarinenses de medicina (impresso),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:01:14,Other error occurred: 'entry' - Status_code: 200
137,0381-7032,ars combinatoria,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=25215,18,B3,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
138,0004-3702,artificial intelligence (general ed.),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23675,99,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
139,0924-8463,artificial intelligence and law (dordrecht. print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=13880,98,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
140,0933-3657,artificial intelligence in medicine (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24140,88,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
141,1927-6974,artificial intelligence research,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:01:14,Other error occurred: 'entry' - Status_code: 200
142,0269-2821,artificial intelligence review,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24141,99,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
143,1573-7462,artificial intelligence review (dordrecht. online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24141,99,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
144,1064-5462,artificial life,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24142,57,A4,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
145,1011-2367,asian-australasian journal of animal sciences (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=78414,70,A3,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
146,2050-3806,aslib journal of information management,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100374356,84,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
147,0021-9150,atherosclerosis (amsterdam),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=22483,86,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
148,2237-826X,atoz: novas praticas em informacao e conhecimento,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:01:14,Other error occurred: 'entry' - Status_code: 200
149,1943-3921,"attention, perception & psychophysics (print)",nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=17500155126,92,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
150,0928-8910,automated software engineering,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24145,76,A2,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
151,0005-1098,automatica (oxford),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24909,94,A1,23/01/2022 03:01:14,23/01/2022 03:01:14,atualizado com sucesso
