,sigla,conferencia,categoria,link,CE_Indicou,h5,Qualis_Final,data-atualizacao,data-tentativa,logs,h5_old,Uso do Scholar,Qualis 2016,Qualis_Sem_Inducao,Ajuste ou evento SBC
22,acirs,asia-pacific conference on intelligent robot systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=dQMJcSWIFtgJ.2019,Relevante,5,B4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,5,-,-,B4,-
23,acisp,australasian conference on information security and privacy,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=o0S2wIvNbXEJ.2018,Relevante,15,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,15,-,-,A4,-
24,acivs,advanced concepts for intelligent vision systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fFmocd0yDB0J.2018,Relevante,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10,-,B1,B2,-
25,acl,annual meeting of the association for computational linguistics,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Y3UjV9bSCxMJ.2018,Top10,87,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,87,-,A1,A1,-
26,acm cc,creativity & cognition,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fckQPrz_q_gJ.2019,Relevante,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,15,-,-,A4,-
27,acm ccs,acm symposium on computer and communications security,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Pg42P_rbavwJ.2018,Top10,77,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,77,-,-,A1,-
28,acm chi play,annual symposium on computer-human interaction in play,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=WNLxUj5tg3gJ.2019,Relevante,24,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,24,-,-,A3,-
29,acm doceng,acm symposium on document engineering,2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=fBneWRb_-8wJ.2019,Top20,10,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10,-,-,B2,-
30,acm sigspatial,acm international conference on advances in geographic information systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=o8w3q5IHx5MJ.2018,Relevante,27,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,27,-,-,A2,-
31,acm tvx,international conference on experiences for tv and online video,2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=TXuTxsDBjjgJ.2019,Top20,18,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,18,-,-,A4,-
32,acmidc,acm interaction design and children,1,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=cOPH-2bbPCQJ.2018,nulo,25,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,-,-,-,-,-
33,acmmm,acm international conference on multimedia,2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=vKMrxyJUpv0J.2019,Top20,58,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,49,-,-,A1,-
34,acmsocc,acm symposium on cloud computing,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=o1durVJyeP4J.2018,Relevante,35,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,35,-,A1,A1,-
35,acns,applied cryptography and network security,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uX6tRrNG0lQJ.2018,Relevante,22,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,22,-,-,A3,-
36,acra,australasian conference on robotics and automation,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Australasian+Conference+on+Robotics+and+Automation&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,7,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,7,1,B5,B3,-
37,acri,international conference on cellular automata for research and industry,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=o2qc-WLve00J.2018,nulo,8,B3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,8,-,B2,B3,-
38,acsac,computer security applications conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=88oopSfS28MJ.2018,Top20,28,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,28,-,-,A2,-
39,adbis,east european conference on advances in databases and information systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=pEYfHFCSslcJ.2018,Top20,13,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13,-,B1,B1,-
40,adhoc-now,ow - international conference on ad-hoc networks and wireless,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_9eZQpLGoSAJ.2018,Relevante,9,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,9,-,B1,B2,-
41,advance,international workshop on advances in ict infrastructures and services,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+ADVANCEs+in+ICT+Infrastructures+and+Services&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,3,1,-,B4,-
42,advcomp-iaria,iaria international conference on advanced engineering computing and applications in sciences,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Advanced+Engineering+Computing+and+Applications+in+Sciences&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,1,1,B5,B4,-
43,aes,international convention of the audio engineering society,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Convention+of+the+Audio+Engineering+Society&as_ylo=&as_yhi=&hl=en&as_sdt=1%2C5,Top20,1,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,1,1,-,B4,-
44,aes brasil,congresso de engenharia de audio da audio engineering society brasil.,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:07:40,categorias 3 e 4 não são atualizadas,-,-,-,-,-
45,aes-icsa,aes international conference on semantic audio,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=AES+International+Conference+on+Semantic+Audio&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,7,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,7,1,-,B3,-
46,agere,"workshop on programming based on actors, agents, and decentralized control",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Programming+based+on+Actors%2C+Agents%2C+and+Decentralized+Control&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,8,1,B2,B3,-
47,agi,conference on artificial general intelligence,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=KhTaMZfpHlAJ.2018,nulo,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10,-,B1,B2,-
48,agile,agile conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fPsj9z0U6p8J.2018,Top10,12,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,12,-,B1,B1,-
49,agilegis,conference on geographic information science,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Conference+on+Geographic+Information+Science&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,7,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,7,1,B2,B3,-
50,ah,augmented human international conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HqiGvACsawYJ.2018,Top10,19,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,19,-,B1,A4,-
51,ahs,nasa/esa conference on adaptive hardware and systems,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=n0iwMEES5NEJ.2018,nulo,11,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,11,-,B1,B2,-
52,ai,canadian conference on artificial intelligence,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=uwidrWGdw8UJ.2018,nulo,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10,-,B1,B2,-
53,aiccsa,acs/ieee international conference on computer systems and applications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Computer+Systems+and+Applications&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,10,1,B2,B2,-
54,aict,international conference on application of information and communication technologies,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=kwOZ7j8uP1wJ.2018,Relevante,8,B3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,8,-,B2,B3,-
55,aict-iaria,iaria advanced international conference on telecommunications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+Advanced+International+Conference+on+Telecommunications&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,3,1,B5,B4,-
56,aied,intternational conference on artificial intelligence in education,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=l2Fh9zgyJ3sJ.2018,Top10,24,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,24,-,A2,A3,-
57,aiide,aaai conference on artificial intelligence and interactive digital entertainment,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=5m22OTMIZYcJ.2018,Top10,17,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,17,-,A2,A4,-
58,aim,ieee/asme international conference on advanced intelligent mechatronics,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=vvYv-MYYfD0J.2019,Relevante,17,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,17,-,-,A4,-
59,aime,conference on artificial intelligence in medicine,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Conference+on+Artificial+Intelligence+in+Medicine&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,12,A4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,12,1,-,B1,-
60,aiml,advances in modal logic,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Advances+in+Modal+Logic&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,8,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,8,1,B2,B3,-
61,aims,"international conference on autonomous infrastructure, management and security",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Autonomous+Infrastructure%2C+Management+and+Security&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,11,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,11,1,-,B2,-
62,aina,ieee international conference on advanced information networking and applications,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_T_qD8WJyMgJ.2018,Relevante,27,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,27,-,A2,A2,-
63,ainaw,ieee international conference on advanced information networking and applications workshops,1,nulo,nulo,27,A2,não se aplica,15/08/2021 03:07:40,não existe site para verificar o h5,27,-,B4,A2,-
64,aipr,applied imagery pattern recognition workshop,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Applied+Imagery+Pattern+Recognition+Workshop&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,10,1,-,B2,-
65,aisec,acm workshop on artificial intelligence and security,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=ACM+Workshop+on+Artificial+Intelligence+and+Security&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,19,A4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,19,1,B4,A4,-
66,aistats,international conference on artificial intelligence and statistics,2,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_datamininganalysis&view_op=list_hcore&venue=PhcE9OLs0MUJ.2019,Top10,52,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,52,-,-,A1,-
67,alcob,international conference on algorithms for computational biology,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Algorithms+for+Computational+Biology&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,9,B1,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,9,1,-,B2,-
68,alio/euro,workshop on applied combinatorial optimization,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Applied+Combinatorial+Optimization&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,3,1,B5,B4,-
69,allerton,"allerton conference on communication, control, and computing",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HbOjoTJcHB8J.2018,Relevante,31,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,31,-,A1,A2,-
70,am,audio mostly on interaction with sound,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Audio+Mostly+on+Interaction+With+Sound&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,8,1,B5,B3,-
71,amcis,americas conference on information systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Z7jeczV8wooJ.2018,Top10,23,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,23,-,A2,A3,-
72,amd,workshop on analysis of movement data,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Analysis+of+Movement+Data&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Relevante,2,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,2,1,-,B4,-
73,amia,annual symposium of the american medical informatics association,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=MtqRwGWQK3AJ.2018,Top10,22,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,22,-,B2,A3,-
74,amw,alberto mendelzon international workshop on foundations of data management,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=SD0zxFP7qD4J.2018,Relevante,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10,-,B1,B2,-
75,ancs,acm/ieee symposium on architectures for networking and communications systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=UTrnhRMd-UwJ.2018,Relevante,18,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,18,-,-,A4,-
76,anppom,congresso da associacao nacional de pesquisa e pos-graduacao em musica,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Congresso+da+Associa%C3%A7%C3%A3o+Nacional+de+Pesquisa+e+P%C3%B3s-Gradua%C3%A7%C3%A3o+em+M%C3%BAsica&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,4,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,4,1,-,B4,-
77,ants,ieee international conference on advanced networks and telecommuncations systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=oIYBlZ0nCUMJ.2018,Relevante,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13,-,B1,B1,-
78,aofa,"international conference on probabilistic, combinatorial and asymptotic methods for the analysis of algorithms",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Probabilistic%2C+Combinatorial+and+Asymptotic+Methods+for+the+Analysis+of+Algorithms&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,2,1,B5,B4,-
79,apcase,asia-pacific conference on computer aided system engineering,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=0znWgF1a02EJ.2018,nulo,8,B3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,8,-,B4,B3,-
80,apccas,ieee asia pacific conference on circuits and systems,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=iPNrzhpu_IoJ.2018,Relevante,7,B3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,7,-,-,B3,-
81,aplas,asian symposium on programming languages and systems,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=dHznF5bq130J.2018,nulo,12,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,12,-,B1,B1,-
82,apnoms,asia-pacific network operations and management symposium,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=qQ2ERzcoym0J.2018,Relevante,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13,-,-,B1,-
83,approx-random,approx-random,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=M9oM2PGejDoJ.2019,Top20,18,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,18,-,-,A4,-
84,apweb,asia-pacific web conference,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Asia-Pacific+Web+Conference&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Relevante,6,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,6,1,-,B3,-
85,arc,international symposium on applied reconfigurable computing,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=YfOo-Q2IJm8J.2018,Relevante,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10,-,B1,B2,-
86,arcs,international conference on architecture of computing systems,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=0iDRKaj8G38J.2018,Relevante,12,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,12,-,-,B1,-
87,ares,"international conference on availability, reliability and security",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=GIrj2BSjfiwJ.2018,Relevante,19,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,19,-,A2,A4,-
88,argmas,international workshop on argumentation in multiagent systems,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Argumentation+in+Multiagent+Systems&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,3,1,B5,B4,-
89,aric,international workshop on intelligent and resilient cities,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:07:40,categorias 3 e 4 não são atualizadas,-,-,-,-,-
