,sigla,conferencia,categoria,link,CE_Indicou,h5,Qualis_Final,data-atualizacao,data-tentativa,logs,h5_old,Uso do Scholar,Qualis 2016,Qualis_Sem_Inducao,Ajuste ou evento SBC,LINK INFOGRÁFICO
10,AAAI,Conference on Artificial Intelligence,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=PV9sQN5dnPsJ.2018,Top10,69,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,69.0,,A1,A1,,
11,AAATE,Association for the Advancement of Assistive Technology in Europe Congress,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:07:40,categorias 3 e 4 não são atualizadas,,,B5,,,
12,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=yWxsQWGuQ-sJ.2018,Top10,40,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,40.0,,A1,A1,,
13,ABCIBER,Congresso Brasileiro de Pesquisadores em Cibercultura,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:07:40,categorias 3 e 4 não são atualizadas,,,,,,
14,ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=P_bGcOzNXgIJ.2019,Top20,13,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13.0,,,B1,,
15,AC-HCI,International Conference on Augmented Cognition,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Augmented+Cognition&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,15,A4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,15.0,1.0,B2,A4,,
16,ACC,American Control Conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=tgZe9odv5lUJ.2019,Relevante,41,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,41.0,,,A1,,
17,ACCV,Asian Conference on Computer Vision,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=C6G2a_KY88AJ.2018,Top10,30,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,30.0,,,A2,,
18,ACE,International Conference on Advances in Computer Entertainment Technology,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=PIZ9zvbRNZEJ.2018,Relevante,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13.0,,B1,B1,,
19,ACE-X,International Conference on Advanced Computational Engineering and Experimenting,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Advanced+Computational+Engineering+and+Experimenting&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,1.0,1.0,,B4,,
20,ACHI-IARIA,IARIA International Conference on Advances in Computer-Human Interactions,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Advances+in+Computer-Human+Interactions&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,5,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,5.0,1.0,B5,B4,,
21,ACII,International Conference on Affective Computing and Intelligent Interaction,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=n8TWwN8Kc5cJ.2018,Relevante,23,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,23.0,,,A3,,
22,ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=dQMJcSWIFtgJ.2019,Relevante,5,B4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,5.0,,,B4,,
23,ACISP,Australasian Conference on Information Security and Privacy,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=o0S2wIvNbXEJ.2018,Relevante,15,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,15.0,,,A4,,
24,ACIVS,Advanced Concepts for Intelligent Vision Systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fFmocd0yDB0J.2018,Relevante,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10.0,,B1,B2,,
25,ACL,Annual Meeting of the Association for Computational Linguistics,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Y3UjV9bSCxMJ.2018,Top10,87,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,87.0,,A1,A1,,
26,ACM CC,Creativity & Cognition,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fckQPrz_q_gJ.2019,Relevante,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,15.0,,,A4,,
27,ACM CCS,ACM Symposium on Computer and Communications Security,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Pg42P_rbavwJ.2018,Top10,77,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,77.0,,,A1,,
28,ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=WNLxUj5tg3gJ.2019,Relevante,24,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,24.0,,,A3,,
29,ACM DocEng,ACM Symposium on Document Engineering,2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=fBneWRb_-8wJ.2019,Top20,10,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10.0,,,B2,,
30,ACM SIGSPATIAL,ACM International Conference on Advances in Geographic Information Systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=o8w3q5IHx5MJ.2018,Relevante,27,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,27.0,,,A2,,
31,ACM TVX,International Conference on Experiences for TV and Online Video,2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=TXuTxsDBjjgJ.2019,Top20,18,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,18.0,,,A4,,
32,ACMIDC,ACM Interaction Design and Children,1,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=cOPH-2bbPCQJ.2018,nulo,25,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,,,,,,
33,ACMMM,ACM International Conference on Multimedia,2,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=vKMrxyJUpv0J.2019,Top20,58,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,49.0,,,A1,,
34,ACMSOCC,ACM Symposium on Cloud Computing,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=o1durVJyeP4J.2018,Relevante,35,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,35.0,,A1,A1,,
35,ACNS,Applied Cryptography and Network Security,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uX6tRrNG0lQJ.2018,Relevante,22,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,22.0,,,A3,,
36,ACRA,Australasian Conference on Robotics and Automation,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Australasian+Conference+on+Robotics+and+Automation&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,7,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,7.0,1.0,B5,B3,,
37,ACRI,International conference on Cellular Automata for Research and Industry,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=o2qc-WLve00J.2018,nulo,8,B3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,8.0,,B2,B3,,
38,ACSAC,Computer Security Applications Conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=88oopSfS28MJ.2018,Top20,28,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,28.0,,,A2,,
39,ADBIS,East European Conference on Advances in Databases and Information Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=pEYfHFCSslcJ.2018,Top20,13,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13.0,,B1,B1,,
40,ADHOC-NOW,OW - International Conference on Ad-Hoc Networks and Wireless,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_9eZQpLGoSAJ.2018,Relevante,9,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,9.0,,B1,B2,,
41,ADVANCE,International Workshop on ADVANCEs in ICT Infrastructures and Services,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+ADVANCEs+in+ICT+Infrastructures+and+Services&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,3.0,1.0,,B4,,
42,ADVCOMP-IARIA,IARIA International Conference on Advanced Engineering Computing and Applications in Sciences,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Advanced+Engineering+Computing+and+Applications+in+Sciences&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,1.0,1.0,B5,B4,,
43,AES,International Convention of the Audio Engineering Society,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Convention+of+the+Audio+Engineering+Society&as_ylo=&as_yhi=&hl=en&as_sdt=1%2C5,Top20,1,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,1.0,1.0,,B4,,
44,AES Brasil,Congresso de Engenharia de Áudio da Audio Engineering Society Brasil.,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:07:40,categorias 3 e 4 não são atualizadas,,,,,,
45,AES-ICSA,AES International Conference on Semantic Audio,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=AES+International+Conference+on+Semantic+Audio&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,7,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,7.0,1.0,,B3,,
46,AGERE,"Workshop on Programming based on Actors, Agents, and Decentralized Control",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Programming+based+on+Actors%2C+Agents%2C+and+Decentralized+Control&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,8.0,1.0,B2,B3,,
47,AGI,Conference on Artificial General Intelligence,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=KhTaMZfpHlAJ.2018,nulo,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10.0,,B1,B2,,
48,AGILE,Agile Conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fPsj9z0U6p8J.2018,Top10,12,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,12.0,,B1,B1,,
49,AGILEGIS,Conference on Geographic Information Science,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Conference+on+Geographic+Information+Science&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,7,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,7.0,1.0,B2,B3,,
50,AH,Augmented Human International Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HqiGvACsawYJ.2018,Top10,19,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,19.0,,B1,A4,,
51,AHS,NASA/ESA Conference on Adaptive Hardware and Systems,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=n0iwMEES5NEJ.2018,nulo,11,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,11.0,,B1,B2,,
52,AI,Canadian Conference on Artificial Intelligence,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=uwidrWGdw8UJ.2018,nulo,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10.0,,B1,B2,,
53,AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Computer+Systems+and+Applications&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,10.0,1.0,B2,B2,,
54,AICT,International Conference on Application of Information and Communication Technologies,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=kwOZ7j8uP1wJ.2018,Relevante,8,B3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,8.0,,B2,B3,,
55,AICT-IARIA,IARIA Advanced International Conference on Telecommunications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+Advanced+International+Conference+on+Telecommunications&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,3.0,1.0,B5,B4,,
56,AIED,Intternational Conference on Artificial Intelligence in Education,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=l2Fh9zgyJ3sJ.2018,Top10,24,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,24.0,,A2,A3,,
57,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=5m22OTMIZYcJ.2018,Top10,17,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,17.0,,A2,A4,,
58,AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=vvYv-MYYfD0J.2019,Relevante,17,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,17.0,,,A4,,
59,AIME,Conference on Artificial Intelligence in Medicine,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Conference+on+Artificial+Intelligence+in+Medicine&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,12,A4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,12.0,1.0,,B1,,
60,AIML,Advances in Modal Logic,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Advances+in+Modal+Logic&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,8,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,8.0,1.0,B2,B3,,
61,AIMS,"International Conference on Autonomous Infrastructure, Management and Security",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Autonomous+Infrastructure%2C+Management+and+Security&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,11,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,11.0,1.0,,B2,,
62,AINA,IEEE International Conference on Advanced Information Networking and Applications,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_T_qD8WJyMgJ.2018,Relevante,27,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,27.0,,A2,A2,,
63,AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,1,nulo,nulo,27,A2,não se aplica,15/08/2021 03:07:40,não existe site para verificar o h5,27.0,,B4,A2,,
64,AIPR,Applied Imagery Pattern Recognition Workshop,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Applied+Imagery+Pattern+Recognition+Workshop&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,10.0,1.0,,B2,,
65,AISEC,ACM Workshop on Artificial Intelligence and Security,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=ACM+Workshop+on+Artificial+Intelligence+and+Security&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,19,A4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,19.0,1.0,B4,A4,,
66,AISTATS,International Conference on Artificial Intelligence and Statistics,2,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_datamininganalysis&view_op=list_hcore&venue=PhcE9OLs0MUJ.2019,Top10,52,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,52.0,,,A1,,
67,AlCoB,International Conference on Algorithms for Computational Biology,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Algorithms+for+Computational+Biology&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,9,B1,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,9.0,1.0,,B2,,
68,ALIO/EURO,Workshop on Applied Combinatorial Optimization,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Applied+Combinatorial+Optimization&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,3.0,1.0,B5,B4,,
69,ALLERTON,"Allerton Conference on Communication, Control, and Computing",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HbOjoTJcHB8J.2018,Relevante,31,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,31.0,,A1,A2,,
70,AM,Audio Mostly on Interaction With Sound,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Audio+Mostly+on+Interaction+With+Sound&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,8.0,1.0,B5,B3,,
71,AMCIS,Americas Conference on Information Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Z7jeczV8wooJ.2018,Top10,23,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,23.0,,A2,A3,,
72,AMD,Workshop on Analysis of Movement Data,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Analysis+of+Movement+Data&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Relevante,2,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,2.0,1.0,,B4,,
73,AMIA,Annual Symposium of the American Medical Informatics Association,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=MtqRwGWQK3AJ.2018,Top10,22,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,22.0,,B2,A3,,
74,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=SD0zxFP7qD4J.2018,Relevante,10,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,10.0,,B1,B2,,
75,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=UTrnhRMd-UwJ.2018,Relevante,18,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,18.0,,,A4,,
76,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Congresso+da+Associa%C3%A7%C3%A3o+Nacional+de+Pesquisa+e+P%C3%B3s-Gradua%C3%A7%C3%A3o+em+M%C3%BAsica&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,4,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,4.0,1.0,,B4,,
77,ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=oIYBlZ0nCUMJ.2018,Relevante,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13.0,,B1,B1,,
78,AOFA,"International Conference on Probabilistic, Combinatorial and Asymptotic Methods for the Analysis of Algorithms",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Probabilistic%2C+Combinatorial+and+Asymptotic+Methods+for+the+Analysis+of+Algorithms&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,2.0,1.0,B5,B4,,
79,APCASE,Asia-Pacific Conference on Computer Aided System Engineering,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=0znWgF1a02EJ.2018,nulo,8,B3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,8.0,,B4,B3,,
80,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=iPNrzhpu_IoJ.2018,Relevante,7,B3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,7.0,,,B3,,
81,APLAS,Asian Symposium on Programming Languages and Systems,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=dHznF5bq130J.2018,nulo,12,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,12.0,,B1,B1,,
82,APNOMS,Asia-Pacific Network Operations and Management Symposium,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=qQ2ERzcoym0J.2018,Relevante,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13.0,,,B1,,
83,APPROX-RANDOM,APPROX-RANDOM,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=M9oM2PGejDoJ.2019,Top20,18,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,18.0,,,A4,,
84,APWEB,Asia-Pacific Web Conference,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Asia-Pacific+Web+Conference&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Relevante,6,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,6.0,1.0,,B3,,
