,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
23,Workshop on Circuits and Systems Design,20120.0,-,conferencia,-,workshop on circuits and systems design,workshop on circuits and systems design,workshop on circuits and systems design,workshop on circuits and systems design,100,100,100,100,B1,B1,B1,B1,all,workshop on circuits and systems design,B1
24,Workshop on the Theory of Transactional Memory,20150.0,-,conferencia,-,workshop on the theory of transactional memory,workshop on the theory of transactional memory,workshop on the theory of transactional memory,workshop on the theory of transactional memory,100,100,100,100,B4,B4,B4,B4,all,workshop on the theory of transactional memory,B4
25,Simpósio em Sistemas Computacionais de Alto Desempenho,20210.0,-,conferencia,-,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,100,100,100,100,B1,B1,B1,B1,all,simposio em sistemas computacionais de alto desempenho,B1
26,"IEEE International Conference on Application-specific Systems, Architectures and Processors",20160.0,-,conferencia,-,"ieee international conference on application-specific systems, architectures and processors","ieee international conference on application-specific systems, architectures and processors","ieee international conference on application-specific systems, architectures and processors","ieee international conference on application-specific systems, architectures and processors",100,100,100,100,A4,A4,A4,A4,all,"ieee international conference on application-specific systems, architectures and processors",A4
27,Extended Semantic Web Conference,20140.0,-,conferencia,-,extended semantic web conference,extended semantic web conference,extended semantic web conference,extended semantic web conference,100,100,100,100,A2,A2,A2,A2,all,extended semantic web conference,A2
28,International Conference on Human-Computer Interaction,20140.0,-,conferencia,-,international conference on human-computer interaction,international conference on human-computer interaction,international conference on human-computer interaction,international conference on human-computer interaction,100,100,100,100,B1,B1,B1,B1,all,international conference on human-computer interaction,B1
29,International Workshop on Ontology Matching,20180.0,-,conferencia,-,international workshop on ontology matching,international workshop on ontology matching,international workshop on ontology matching,international workshop on ontology matching,100,100,100,100,A4,A4,A4,A4,all,international workshop on ontology matching,A4
30,International Conference on Metadata and Semantics Research,20190.0,-,conferencia,-,international conference on metadata and semantics research,international conference on metadata and semantics research,international conference on metadata and semantics research,international conference on metadata and semantics research,100,100,100,100,B2,B2,B2,B2,all,international conference on metadata and semantics research,B2
31,ACM-SIAM Symposium on Discrete Algorithms,20030.0,-,conferencia,-,acm-siam symposium on discrete algorithms,acm-siam symposium on discrete algorithms,acm-siam symposium on discrete algorithms,acm-siam symposium on discrete algorithms,100,100,100,100,A1,A1,A1,A1,all,acm-siam symposium on discrete algorithms,A1
32,IEEE International Conference on Image Processing,20070.0,-,conferencia,-,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,ieee international conference on image processing,100,100,100,100,A1,A1,A1,A1,all,ieee international conference on image processing,A1
33,IEEE International Symposium on Multimedia,20080.0,-,conferencia,-,ieee international symposium on multimedia,ieee international symposium on multimedia,ieee international symposium on multimedia,ieee international symposium on broadband multimedia systems and broadcasting,100,100,100,100,A3,A3,A3,B1,ratio partial sort,ieee international symposium on multimedia,A3
34,International Conference on Computer Vision Theory and Applications,20100.0,-,conferencia,-,international conference on computer vision theory and applications,international conference on computer vision theory and applications,international conference on computer vision theory and applications,international conference on computer vision theory and applications,100,100,100,100,A3,A3,A3,A3,all,international conference on computer vision theory and applications,A3
35,IEEE International Geoscience and Remote Sensing Symposium,20100.0,-,conferencia,-,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,ieee international geoscience and remote sensing symposium,100,100,100,100,A3,A3,A3,A3,all,ieee international geoscience and remote sensing symposium,A3
36,ACM International Conference on Multimedia Retrieval,20120.0,-,conferencia,-,acm international conference on multimedia retrieval,acm international conference on multimedia,acm international conference on multimedia retrieval,acm international conference on multimedia,100,100,100,100,A2,A1,A2,A1,ratio sort,acm international conference on multimedia retrieval,A2
37,"Conference on Graphics, Patterns and Images",20140.0,-,conferencia,patterns,"conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images","conference on graphics, patterns and images",100,100,100,100,A3,A3,A3,A3,all,"conference on graphics, patterns and images",A3
38,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,20140.0,-,conferencia,-,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,100,100,100,100,A2,A2,A2,A2,all,european conference on machine learning and principles and practice of knowledge discovery in databases,A2
39,International Conference on Information Visualization Theory and Applications,20170.0,-,conferencia,-,international conference on information visualization theory and applications,international conference on information visualization,international conference on information visualization theory and applications,international conference on information visualization,100,100,100,100,B3,A4,B3,A4,ratio sort,international conference on information visualization theory and applications,B3
40,International Symposium on Code Generation and Optimization,20060.0,-,conferencia,-,international symposium on code generation and optimization,international symposium on code generation and optimization,international symposium on code generation and optimization,international symposium on code generation and optimization,100,100,100,100,A2,A2,A2,A2,all,international symposium on code generation and optimization,A2
41,International Conference on Supercomputing,20090.0,-,conferencia,-,international conference on supercomputing,international conference on supercomputing,international conference on supercomputing,international conference on supercomputing,100,100,100,100,A2,A2,A2,A2,all,international conference on supercomputing,A2
42,International Symposium on Computer Architecture and High Performance Computing,20130.0,-,conferencia,-,international symposium on computer architecture and high performance computing,international symposium on computer architecture,international symposium on computer architecture and high performance computing,international symposium on computer architecture,100,100,100,100,A4,A1,A4,A1,ratio sort,international symposium on computer architecture and high performance computing,A4
43,Computer on the Beach,20180.0,-,conferencia,-,computer on the beach,computer on the beach,computer on the beach,computer on the beach,100,100,100,100,B3,B3,B3,B3,all,computer on the beach,B3
44,International Conference on Architecture of Computing Systems,20210.0,-,conferencia,-,international conference on architecture of computing systems,international conference on architecture of computing systems,international conference on architecture of computing systems,international conference on architecture of computing systems,100,100,100,100,B1,B1,B1,B1,all,international conference on architecture of computing systems,B1
45,IEEE International Conference on Communications,20110.0,-,conferencia,-,ieee international conference on communications,ieee international conference on communications,ieee international conference on communications,ieee international conference on green computing and communications,100,100,100,100,A1,A1,A1,B2,ratio partial sort,ieee international conference on communications,A1
46,Workshop sobre Educação em Computação,20150.0,-,conferencia,-,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,workshop sobre educacao em computacao,100,100,100,100,A4,A4,A4,A4,all,workshop sobre educacao em computacao,A4
47,Simpo¿sio Brasileiro de Computac¿a¿o Ubi¿qua e Pervasiva,20210.0,-,conferencia,-,simposio brasileiro de computacao ubiqua e pervasiva,simposio brasileiro de computacao ubiqua e pervasiva,simposio brasileiro de computacao ubiqua e pervasiva,simposio brasileiro de computacao ubiqua e pervasiva,100,100,100,100,B4,B4,B4,B4,all,simposio brasileiro de computacao ubiqua e pervasiva,B4
48,International Conference on Industrial Engineering and Operations Management,20200.0,-,conferencia,-,international conference on industrial engineering and operations management,international conference on industrial engineering and operations management,international conference on industrial engineering and operations management,international conference on industrial engineering and operations management,100,100,100,100,B2,B2,B2,B2,all,international conference on industrial engineering and operations management,B2
49,ACM Symposium on Applied Computing,20080.0,-,conferencia,-,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,100,100,100,100,A2,A2,A2,A2,all,acm symposium on applied computing,A2
50,Conferencia Latinoamericana de Informatica,19900.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,100,100,100,100,B2,B2,B2,B2,all,conferencia latinoamericana de informatica,B2
51,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,20080.0,-,conferencia,acm sigspatial,acm sigspatial international conference on advances in geographic information systems,acm sigspatial international conference on advances in geographic information systems,acm sigspatial international conference on advances in geographic information systems,acm international conference on advances in geographic information systems,100,100,100,100,A2,A2,A2,A2,ratio partial sort,acm sigspatial international conference on advances in geographic information systems,A2
52,Simpósio Brasileiro de Pesquisa Operacional,20090.0,-,conferencia,-,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,simposio brasileiro de pesquisa operacional,100,100,100,100,B3,B3,B3,B3,all,simposio brasileiro de pesquisa operacional,B3
53,International Symposium on Combinatorial Optimization,20140.0,-,conferencia,-,international symposium on combinatorial optimization,international symposium on combinatorial optimization,international symposium on combinatorial optimization,international symposium on combinatorial optimization,100,100,100,100,B2,B2,B2,B2,all,international symposium on combinatorial optimization,B2
54,Simpósio Brasileiro de Sistemas de Informação,20120.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100,100,100,100,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
55,Simpósio Brasileiro de Banco de Dados,20120.0,-,conferencia,-,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,simposio brasileiro de banco de dados,100,100,100,100,A4,A4,A4,A4,all,simposio brasileiro de banco de dados,A4
56,Iberoamerican Congress on Pattern Recognition,20100.0,-,conferencia,-,iberoamerican congress on pattern recognition,iberoamerican congress on pattern recognition,iberoamerican congress on pattern recognition,iberoamerican congress on pattern recognition,100,100,100,100,A4,A4,A4,A4,all,iberoamerican congress on pattern recognition,A4
57,European Workshop on Computational Geometry,20140.0,-,conferencia,-,european workshop on computational geometry,european workshop on computational geometry,european workshop on computational geometry,european workshop on computational geometry,100,100,100,100,B4,B4,B4,B4,all,european workshop on computational geometry,B4
58,ACS/IEEE International Conference on Computer Systems and Applications,20100.0,-,conferencia,-,acs/ieee international conference on computer systems and applications,acs/ieee international conference on computer systems and applications,acs/ieee international conference on computer systems and applications,acs/ieee international conference on computer systems and applications,100,100,100,100,B2,B2,B2,B2,all,acs/ieee international conference on computer systems and applications,B2
59,Simposio Brasileiro de Sistemas Colaborativos,,-,conferencia,-,simposio brasileiro de sistemas colaborativos,simposio brasileiro de sistemas colaborativos,simposio brasileiro de sistemas colaborativos,simposio brasileiro de sistemas colaborativos,100,100,100,100,B1,B1,B1,B1,all,simposio brasileiro de sistemas colaborativos,B1
60,International Conference on Enterprise Information Systems,20080.0,-,conferencia,-,international conference on enterprise information systems,conference on enterprise information systems,international conference on enterprise information systems,conference on enterprise information systems,100,100,100,100,A3,A4,A3,A4,ratio sort,international conference on enterprise information systems,A3
61,SPIE Medical Imaging,,-,conferencia,spie,spie medical imaging,spie medical imaging,spie medical imaging,spie medical imaging,100,100,100,100,A4,A4,A4,A4,all,spie medical imaging,A4
62,Workshop de Testes e Tolerância a Falhas,20000.0,-,conferencia,-,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,100,100,100,100,B4,B4,B4,B4,all,workshop de testes e tolerancia a falhas,B4
63,International Symposium on Mathematical Morphology,20070.0,-,conferencia,-,international symposium on mathematical morphology,international symposium on mathematical morphology,international symposium on mathematical morphology,international symposium on mathematical morphology,100,100,100,100,A4,A4,A4,A4,all,international symposium on mathematical morphology,A4
64,Simpósio Brasileiro de Sensoriamento Remoto,20090.0,-,conferencia,-,simposio brasileiro de sensoriamento remoto,simposio brasileiro de sensoriamento remoto,simposio brasileiro de sensoriamento remoto,simposio brasileiro de sensoriamento remoto,100,100,100,100,B2,B2,B2,B2,all,simposio brasileiro de sensoriamento remoto,B2
65,International Conference on Pattern Recognition,20100.0,-,conferencia,-,international conference on pattern recognition,international conference on pattern recognition,international conference on pattern recognition,international conference on pattern recognition,100,100,100,100,A2,A2,A2,A2,all,international conference on pattern recognition,A2
66,EuroVis Workshop on Visual Analytics (EuroVA),20150.0,-,conferencia,eurovis,eurovis workshop on visual analytics (eurova),eurovis workshop on visual analytics (eurova),eurovis workshop on visual analytics (eurova),eurovis workshop on visual analytics (eurova),100,100,100,100,B4,B4,B4,B4,all,eurovis workshop on visual analytics (eurova),B4
67,IEEE International Conference on Web Services,20100.0,-,conferencia,services,ieee international conference on web services,ieee international conference on web services,ieee international conference on web services,ieee international conference on web services,100,100,100,100,A3,A3,A3,A3,all,ieee international conference on web services,A3
68,Congresso Nacional de Matemática Aplicada e Computacional,20020.0,-,conferencia,-,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,congresso nacional de matematica aplicada e computacional,100,100,100,100,B3,B3,B3,B3,all,congresso nacional de matematica aplicada e computacional,B3
69,Latin American Workshop on Cliques in Graphs,20140.0,-,conferencia,latin,latin american workshop on cliques in graphs,latin american workshop on cliques in graphs,latin american workshop on cliques in graphs,latin american workshop on cliques in graphs,100,100,100,100,B4,B4,B4,B4,all,latin american workshop on cliques in graphs,B4
70,IEEE International Symposium on Circuits and Systems,19860.0,-,conferencia,-,ieee international symposium on circuits and systems,ieee international symposium on circuits and systems,ieee international symposium on circuits and systems,ieee international symposium on asynchronous circuits and systems,100,100,100,100,A2,A2,A2,B1,ratio partial sort,ieee international symposium on circuits and systems,A2
71,International Conference on High Performance Computing & Simulation,20100.0,-,conferencia,-,international conference on high performance computing & simulation,international conference on high performance computing & simulation,international conference on high performance computing & simulation,international conference on high performance computing & simulation,100,100,100,100,A4,A4,A4,A4,all,international conference on high performance computing & simulation,A4
72,IFIP/IEEE International Symposium on Integrated Network Management,20190.0,-,conferencia,-,ifip/ieee international symposium on integrated network management,ifip/ieee international symposium on integrated network management,ifip/ieee international symposium on integrated network management,ifip/ieee international symposium on integrated network management,100,100,100,100,A2,A2,A2,A2,all,ifip/ieee international symposium on integrated network management,A2
73,"Latin-American Algorithms, Graphs and Optimization Symposium",20110.0,-,conferencia,latin,"latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium","latin-american algorithms, graphs and optimization symposium",100,100,100,100,B3,B3,B3,B3,all,"latin-american algorithms, graphs and optimization symposium",B3
74,Genetic and Evolutionary Computation Conference,20130.0,-,conferencia,-,genetic and evolutionary computation conference,genetic and evolutionary computation conference,genetic and evolutionary computation conference,genetic and evolutionary computation conference,100,100,100,100,A2,A2,A2,A2,all,genetic and evolutionary computation conference,A2
75,"International Conference on Logistics, Informatics and Services Sciences",20140.0,-,conferencia,services,"international conference on logistics, informatics and services sciences","international conference on logistics, informatics and services sciences","international conference on logistics, informatics and services sciences","international conference on logistics, informatics and services sciences",100,100,100,100,B4,B4,B4,B4,all,"international conference on logistics, informatics and services sciences",B4
76,Federated Conference on Computer Science and Information Systems,20200.0,-,conferencia,-,federated conference on computer science and information systems,federated conference on computer science and information systems,federated conference on computer science and information systems,federated conference on computer science and information systems,100,100,100,100,A2,A2,A2,A2,all,federated conference on computer science and information systems,A2
77,IEEE Computer Society Annual Symposium on VLSI,20070.0,-,conferencia,vlsi,ieee computer society annual symposium on vlsi,ieee computer society annual symposium on vlsi,ieee computer society annual symposium on vlsi,ieee computer society annual symposium on vlsi,100,100,100,100,A3,A3,A3,A3,all,ieee computer society annual symposium on vlsi,A3
78,International Symposium on Low Power Electronics and Design,20070.0,-,conferencia,-,international symposium on low power electronics and design,international symposium on low power electronics and design,international symposium on low power electronics and design,international symposium on low power electronics and design,100,100,100,100,A3,A3,A3,A3,all,international symposium on low power electronics and design,A3
79,International Conference on Algorithms and Architectures for Parallel Processing,20100.0,-,conferencia,-,international conference on algorithms and architectures for parallel processing,international conference on algorithms and architectures for parallel processing,international conference on algorithms and architectures for parallel processing,international conference on algorithms and architectures for parallel processing,100,100,100,100,B1,B1,B1,B1,all,international conference on algorithms and architectures for parallel processing,B1
80,International Conference on Cryptology and Information Security in Latin America,20190.0,-,conferencia,latin,international conference on cryptology and information security in latin america,international conference on cryptology and information security in latin america,international conference on cryptology and information security in latin america,international cryptology conference,100,100,100,100,B1,B1,B1,A1,ratio partial sort,international conference on cryptology and information security in latin america,B1
81,International Conference on Image Analysis and Recognition,20090.0,-,conferencia,-,international conference on image analysis and recognition,international conference on image analysis and recognition,international conference on image analysis and recognition,international conference on image analysis and recognition,100,100,100,100,B1,B1,B1,B1,all,international conference on image analysis and recognition,B1
82,Workshop de Realidade Virtual e Aumentada,20120.0,-,conferencia,-,workshop de realidade virtual e aumentada,workshop de realidade virtual e aumentada,workshop de realidade virtual e aumentada,workshop de realidade virtual e aumentada,100,100,100,100,B4,B4,B4,B4,all,workshop de realidade virtual e aumentada,B4
83,International Conference on Biometrics,20130.0,-,conferencia,-,international conference on biometrics,"ieee international conference on biometrics: theory, applications, and systems",international conference on biometrics,"ieee international conference on biometrics: theory, applications, and systems",100,100,100,100,A3,A3,A3,A3,ratio sort,international conference on biometrics,A3
84,Simposio Brasileiro de Redes de Computadores e Sistemas Distribuídos,20070.0,-,conferencia,-,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,100,100,100,100,A4,A4,A4,A4,all,simposio brasileiro de redes de computadores e sistemas distribuidos,A4
85,Simposio Brasileiro de Redes de Computadores e Sistemas Distribuidos,20070.0,-,conferencia,-,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,100,100,100,100,A4,A4,A4,A4,all,simposio brasileiro de redes de computadores e sistemas distribuidos,A4
86,IEEE Wireless Communications and Networking Conference,20140.0,-,conferencia,networking,ieee wireless communications and networking conference,ieee wireless communications and networking conference,ieee wireless communications and networking conference,ieee wireless communications and networking conference,100,100,100,100,A3,A3,A3,A3,all,ieee wireless communications and networking conference,A3
87,Wireless Days conference,20140.0,-,conferencia,-,wireless days conference,wireless days conference,wireless days conference,wireless days conference,100,100,100,100,A4,A4,A4,A4,all,wireless days conference,A4
88,IEEE International Conference on Computer and Information Technology,20150.0,-,conferencia,-,ieee international conference on computer and information technology,ieee international conference on computer and information technology,ieee international conference on computer and information technology,ieee international conference on computer and information technology,100,100,100,100,B3,B3,B3,B3,all,ieee international conference on computer and information technology,B3
89,IEEE Global Communications Conference,20160.0,-,conferencia,-,ieee global communications conference,ieee global communications conference,ieee global communications conference,ieee global communications conference,100,100,100,100,A1,A1,A1,A1,all,ieee global communications conference,A1
90,International Conference on Wireless Networks,20130.0,-,conferencia,networks,international conference on wireless networks,international conference on wireless networks,international conference on wireless networks,ow - international conference on ad-hoc networks and wireless,100,100,100,100,B1,B1,B1,B2,ratio partial sort,international conference on wireless networks,B1
91,Workshop de Gerência e Operação de Redes e Serviços,20170.0,-,conferencia,-,workshop de gerencia e operacao de redes e servicos,workshop de gerencia e operacao de redes e servicos,workshop de gerencia e operacao de redes e servicos,workshop de gerencia e operacao de redes e servicos,100,100,100,100,B4,B4,B4,B4,all,workshop de gerencia e operacao de redes e servicos,B4
92,Canadian Conference on Computational Geometry,20160.0,-,conferencia,-,canadian conference on computational geometry,canadian conference on computational geometry,canadian conference on computational geometry,canadian conference on computational geometry,100,100,100,100,B2,B2,B2,B2,all,canadian conference on computational geometry,B2
93,"IEEE International Conference on Systems, Man, and Cybernetics",20180.0,-,conferencia,-,"ieee international conference on systems, man and cybernetics","ieee international conference on systems, man and cybernetics","ieee international conference on systems, man and cybernetics","ieee international conference on systems, man and cybernetics",99,98,100,100,A3,A3,A3,A3,all,"ieee international conference on systems, man and cybernetics",A3
94,V Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais,20050.0,-,conferencia,-,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,99,100,99,100,B1,B1,B1,B1,all,simposio brasileiro em seguranca da informacao e de sistemas computacionais,B1
95,X Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais,20100.0,-,conferencia,-,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,99,100,99,100,B1,B1,B1,B1,all,simposio brasileiro em seguranca da informacao e de sistemas computacionais,B1
96,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,20170.0,-,conferencia,-,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,99,99,99,100,B1,B1,B1,B1,all,simposio brasileiro em seguranca da informacao e de sistemas computacionais,B1
97,"International Conference on Compilers, ,Architecture, and Synthesis for Embedded Systems",20010.0,-,conferencia,-,"international conference on compilers, architecture, and synthesis for embedded systems","international conference on compilers, architecture, and synthesis for embedded systems","international conference on compilers, architecture, and synthesis for embedded systems","international conference on compilers, architecture, and synthesis for embedded systems",99,99,100,100,A4,A4,A4,A4,all,"international conference on compilers, architecture, and synthesis for embedded systems",A4
98,Conferência Latino Americana de Informática,20060.0,-,conferencia,-,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,conferencia latinoamericana de informatica,99,98,78,85,B2,B2,,B2,all,conferencia latinoamericana de informatica,B2
